number,name,type,length,page
1,الفاتحة,مكية,7,1
2,البقرة,مدنية,286,2
3,آل_عمران,مدنية,200,50
4,النساء,مدنية,176,77
5,المائدة,مدنيّة,120,106
6,الأنعام,مكية,165,128
7,الأعراف,مكية,206,151
8,الأنفال,مدنية,75,177
9,التوبة,مدنية,129,187
10,يونس,مكية,109,208
11,هود,مكية,123,221
12,يوسف,مكية,111,235
13,الرعد,مدنية,43,249
14,ابراهيم,مكية,52,255
15,الحجر,مكية,99,262
16,النحل,مكية,128,267
17,الإسراء,مكية,111,282
18,الكهف,مكية,110,293
19,مريم,مكية,98,305
20,طه,مكية,135,312
21,الأنبياء,مكية,112,322
22,الحج,مدنية,78,332
23,المؤمنون,مكية,118,342
24,النور,مدنية,64,350
25,الفرقان,مكية,77,359
26,الشعراء,مكية,227,367
27,النمل,مكية,93,377
28,القصص,مكية,88,385
29,العنكبوت,مكية,69,396
30,الروم,مكية,60,404
31,لقمان,مكية,34,411
32,السجدة,مكية,30,415
33,الأحزاب,مدنية,73,418
34,سبأ,مكية,54,428
35,فاطر,مكية,45,434
36,يس,مكية,83,440
37,الصافات,مكية,182,446
38,ص,مكية,88,453
39,الزمر,مكية,75,458
40,غافر,مكية,85,467
41,فصلت,مكية,54,477
42,الشورى,مكية,53,483
43,الزخرف,مكية,89,489
44,الدخان,مكية,59,496
45,الجاثية,مكية,37,499
46,الأحقاف,مكية,35,502
47,محمد,مدنية,38,507
48,الفتح,مدنية,29,511
49,الحجرات,مدنية,18,515
50,ق,مكية,45,518
51,الذاريات,مكية,60,520
52,الطور,مكية,49,523
53,النجم,مكية,62,526
54,القمر,مكية,55,528
55,الرحمن,مدنية,78,531
56,الواقعة,مكية,96,534
57,الحديد,مدنية,29,537
58,المجادلة,مدنية,22,542
59,الحشر,مدنية,24,545
60,الممتحنة,مدنية,13,549
61,الصف,مدنية,14,551
62,الجمعة,مدنية,11,553
63,المنافقون,مدنية,11,554
64,التغابن,مدنية,18,556
65,الطلاق,مدنية,12,558
66,التحريم,مدنية,12,560
67,الملك,مكية,30,562
68,القلم,مكية,52,564
69,الحاقة,مكية,52,566
70,المعارج,مكية,44,568
71,نوح,مكية,28,570
72,الجن,مكية,28,572
73,المزمل,مكية,20,574
74,المدثر,مكية,56,575
75,القيامة,مكية,40,577
76,الإنسان,مدنية,31,578
77,المرسلات,مكية,50,580
78,النبأ,مكية,40,582
79,النازعات,مكية,46,583
80,عبس,مكية,42,585
81,التكوير,مكية,29,586
82,الإنفطار,مكية,19,587
83,المطففين,مكية,36,587
84,الانشقاق,مكية,25,589
85,البروج,مكية,22,590
86,الطارق,مكية,17,591
87,الأعلى,مكية,19,591
88,الغاشية,مكية,26,592
89,الفجر,مكية,30,593
90,البلد,مكية,20,594
91,الشمس,مكية,15,595
92,الليل,مكية,21,595
93,الضحى,مكية,11,596
94,الشرح,مكية,8,596
95,التين,مكية,8,597
96,العلق,مكية,19,597
97,القدر,مكية,5,598
98,البينة,مدنية,8,598
99,الزلزلة,مدنية,8,599
100,العاديات,مكية,11,599
101,القارعة,مكية,11,600
102,التكاثر,مكية,8,600
103,العصر,مكية,3,601
104,الهمزة,مكية,9,601
105,الفيل,مكية,5,601
106,قريش,مكية,4,602
107,الماعون,مكية,7,602
108,الكوثر,مكية,3,602
109,الكافرون,مكية,6,603
110,النصر,مدنية,3,603
111,المسد,مكية,5,603
112,الإخلاص,مكية,4,604
113,الفلق,مدنية,5,604
114,الناس,مدنية,6,604
